,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local Government Renewables Action Tracker - Transaction Data (01/01/2015 - 06/30/2022),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Updated 12/21/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buyer Data,,,,,,Transaction Overview,,,,,,,,,Development and Operation Details,,,,,,,,Data Source Details,,,,,,,,,,,,,,,,,,,,,,,
Ref. No.,Buyer Name,State,City Latitude,City Longitude,ISO or FERC Region,Announcement Year,Announcement Year (or Operations Year if Announcement Year unavailable),Announcement Date,Technology,Transaction Type,Size of Purchase (MW),DC/AC,Contract Length (Year),Energy Price in Year 1 ($/MWh),Utility Name,Utility Type,Developer Name,Project Name,Project Location,Project State,Operation Start Year,Estimated Annual Generation (MWh),Source 1,Source 2,Source 3,Source 4,Source 5,Notes,,,,,,,,,,,,,,,,,,
416,Trumbull,Connecticut,41.2428742,-73.200669,New England (ISO-NE),2016,2016,03/22/2016,Solar,On-site,0.301,,20,,Eversource Energy,Investor-owned Utility,Greenskies Renewable Energy,Trumbull High School Solar Array,Trumbull,Connecticut,2018,,https://www.greenskies.com/projects,https://www.greenskies.com/about/news/going-green-five-trumbull-schools-receive-solar-arrays,https://solarbuildermag.com/news/four-schools-go-solar-in-trumbull-connecticut-thanks-to-greenskies/,https://www.greenskies.com/about/news/four-schools-go-solar-trumbull-connecticut-greenskies-renewable-energy,,,,,,,,,,,,,,,,,,,,
417,West Haven,Connecticut,41.2706527,-72.9470471,New England (ISO-NE),2021,2021,11/22/2021,Solar,On-site,0.835,,25,,Connecticut United Illuminating,Investor-owned Utility,Verogy,West Haven schools solar arrays,West Haven,Connecticut,,970,https://www.solarpowerworldonline.com/2021/11/verogy-installs-solar-across-connecticut-school-district/,,,,,,,,,,,,,,,,,,,,,,,
418,Dover,Delaware,39.158168,-75.524368,PJM,2020,2020,09/11/2020,Solar,Off-site Physical PPA,50.000,,25,,City of Dover,Municipal Utility,Freepoint Solar,Raceway Project in Harrington & Cedar Creek Project in Townsend,,Delaware,2022,,https://www.doverpost.com/story/news/local/2020/09/24/dover-freepoint-solar-partner-deliver-solar-energy-two-new-projects/3520909001/,,,,,,,,,,,,,,,,,,,,,,,
419,Newark,Delaware,39.6852191,-75.750829,PJM,2020,2020,08/07/2020,Solar,On-site,1.376,,,,City of Newark,Municipal Utility,Seiberlich Trane Energy Services,"Solar panels on the roof of the municipal building, the George Wilson Center and two buildings at the city maintenance yard; Solar projects near the Newark Reservoir and the existing McKees Solar Park",Newark,Delaware,2021,,"https://www.newarkpostonline.com/news/newark-launches-10-million-project-to-install-solar-panels-other-energy-efficiency-upgrades/article_3d4a01cf-9a24-53c1-a478-d8805a458d67.html#:~:text=McKees%20Solar%20Park%20will%20be,more%20solar%20power%20in%20Newark.&text=The%20city%20of%20Newark%20is,needs%20and%20ultimately%20save%20money.",https://www.newarkpostonline.com/news/new-renewable-energy-program-a-complete-game-changer-for-newark-conservationists/article_f104d79b-8177-5d5f-a9f0-569cc3cc11fd.html,https://newarkde.gov/DocumentCenter/View/14862/Renewable-Energy-Program-Form,,,,,,,,,,,,,,,,,,,,,
420,Wilmington,Delaware,39.7459468,-75.546589,PJM,2018,2018,06/18/2018,Solar,On-site,1.150,,25,,Delmarva Power,Investor-owned Utility,Ecogy Energy,Southbridge Solar Park,Southbridge,Delaware,2018,"1,600",https://news.delaware.gov/2018/06/18/former-housing-site-becomes-whas-southbridge-solar-park/,https://www.delawarepublic.org/post/wilmington-housing-authority-unveils-solar-array-southbridge,https://www.delawareonline.com/story/news/2018/06/18/new-solar-park-wilmington-produce-40-million-kilowatt-hours/711592002/,,,,,,,,,,,,,,,,,,,,,
421,Washington,District of Columbia,38.8949924,-77.036558,PJM,2022,2022,06/27/2022,Solar,Community Solar,0.021,DC,15,,Pepco,Investor-owned Utility,Flywheel Development,Rock Creek Ford Solar Shingle,Washington,District of Columbia,2022,29,https://nextcity.org/urbanist-news/dcs-solar-for-all-program-just-installed-its-first-solar-shingles,City contact,,,,The integrated solar shingle roofs combine the functionality and durability of a roof with energy generation. ,,,,,,,,,,,,,,,,,,
422,Washington,District of Columbia,38.8949924,-77.036558,PJM,2018,2018,04/17/2018,Solar,On-site,0.670,,,,Pepco,Investor-owned Utility,Standard Solar,HD Woodson High School,Washington,District of Columbia,2018,,https://dc.gov/release/mayor-bowser-kicks-earthweekdc-one-largest-municipal-solar-projects-country-hd-woodson-high,,,,,,,,,,,,,,,,,,,,,,,
423,Washington,District of Columbia,38.8949924,-77.036558,PJM,2017,2017,06/27/2017,Solar,On-site,0.884,,,,Pepco,Investor-owned Utility,,DC United Audi Field soccer stadium solar array,Washington,District of Columbia,,,https://urbaningenuity.com/mayor-bowser-announces-green-financing-deal-for-dc-united-stadium/,,,,,,,,,,,,,,,,,,,,,,,
424,Washington,District of Columbia,38.8949924,-77.036558,PJM,2017,2017,07/21/2017,Solar,Community Solar,7.000,,,,Pepco,Investor-owned Utility,"10 Awardees: Community Power Network; Groundswell, Inc.; GRID Alternatives Mid-Atlantic; New Partners Community Solar Corp.; Urban Energy Advisors; PEER Consultants, P.C.; Neighborhood Solar Equity, LLC; Open Market ESCO LLC; Ethos Strategic Consulting, LLC; and Community Preservation and Development Corporation",Solar for All DC Innovation and Expansion Grants,Washington,District of Columbia,2019,,https://doee.dc.gov/release/doee-announces-intent-award-10-solar-all-grants-totaling-132-million-deploy-7mw-solar,,,,,,,,,,,,,,,,,,,,,,,
425,Washington,District of Columbia,38.8949924,-77.036558,PJM,2015,2015,12/01/2015,Solar,On-site,11.400,,20,,DC Department of General Services ,Municipal Utility,Nextility,,Washington,District of Columbia,,,https://mayor.dc.gov/release/mayor-bowser-announces-largest-municipal-onsite-solar-project-us,,,,,,,,,,,,,,,,,,,,,,,
426,Washington,District of Columbia,38.8949924,-77.036558,PJM,2018,2018,04/18/2018,Solar,On-site,11.800,,20,,Pepco,Investor-owned Utility,Sol Systems,Solar system for Washington DC's Department of General Services,Washington,District of Columbia,,,https://www.csrwire.com/press_releases/40945-Major-Complex-Onsite-Solar-Portfolio-Now-Operational-in-Washington-DC,,,,,,,,,,,,,,,,,,,,,,,
427,Washington,District of Columbia,38.8949924,-77.036558,PJM,2020,2020,07/08/2020,Solar,Community Solar,12.800,,25,,Pepco,Investor-owned Utility,SunPower,,Washington,District of Columbia,,,https://www.wmata.com/about/news/Metro-solar-contract-announcement.cfm,,,,,,,,,,,,,,,,,,,,,,,
428,Washington,District of Columbia,38.8949924,-77.036558,PJM,2015,2015,07/14/2015,Wind,Off-site Physical PPA,46.000,,20,,Pepco,Investor-owned Utility,Iberdrola Renewables LLC,23-turbine Fayette County wind farm,"Georges, Springhill, Wharton",Pennsylvania,,"125,000",https://mayor.dc.gov/release/mayor-bowser-announces-groundbreaking-wind-power-purchase-agreement,,,,,,,,,,,,,,,,,,,,,,,
429,Alachua County,Florida,29.675568,-82.364011,Southeast,2018,2018,05/15/2018,Solar,Off-site Physical PPA,9.000,,20,,City of Alachua,Municipal Utility,Nextera Energy,Florida Municipal Solar Power Project Phase 1,,Florida,2020,,https://pv-magazine-usa.com/2018/05/15/florida-munis-sign-contracts-with-223-mw-of-solar-power/,https://portal.fmpa.com/wp-content/uploads/2018/07/BOD-Agenda-Package-2018-04-18.pdf,https://fmpa.com/municipal-backed-solar-project-hits-milestone-with-panel-installations/,,,,,,,,,,,,,,,,,,,,,
430,Bartow County,Florida,27.8964,-81.8431,Southeast,2018,2018,05/15/2018,Solar,Off-site Physical PPA,13.000,,20,,City of Bartow Electric Department,Municipal Utility,Nextera Energy,Florida Municipal Solar Power Project Phase 1,,Florida,2020,,https://www.publicpower.org/periodical/article/two-fla-solar-farms-come-online-part-fmpa-and-public-power-utility-partnership,https://pv-magazine-usa.com/2018/05/15/florida-munis-sign-contracts-with-223-mw-of-solar-power/,https://portal.fmpa.com/wp-content/uploads/2018/07/BOD-Agenda-Package-2018-04-18.pdf,https://fmpa.com/municipal-backed-solar-project-hits-milestone-with-panel-installations/,,,,,,,,,,,,,,,,,,,,
431,Fort Pierce,Florida,27.4467056,-80.325606,Southeast,2018,2018,05/15/2018,Solar,Off-site Physical PPA,3.000,,20,,Fort Pierce Utilities Authority,Municipal Utility,Nextera Energy,Florida Municipal Solar Power Project Phase 1,,Florida,2020,,https://www.publicpower.org/periodical/article/two-fla-solar-farms-come-online-part-fmpa-and-public-power-utility-partnership,https://pv-magazine-usa.com/2018/05/15/florida-munis-sign-contracts-with-223-mw-of-solar-power/,https://portal.fmpa.com/wp-content/uploads/2018/07/BOD-Agenda-Package-2018-04-18.pdf,https://fmpa.com/municipal-backed-solar-project-hits-milestone-with-panel-installations/,,,,,,,,,,,,,,,,,,,,
432,Fort Pierce,Florida,27.4467056,-80.325606,Southeast,2019,2019,12/12/2019,Solar,Off-site Physical PPA,15.000,,20,,Fort Pierce Utilities Authority,Municipal Utility,Origis Energy ,Florida Municipal Solar Power Project Phase 2,,Florida,2023,,https://portal.fmpa.com/wp-content/uploads/2019/12/BOD-Agenda-Package-2019-12-12.pdf,https://floridapolitics.com/archives/313476-florida-municipal-utilities-announce-second-solar-power-project,,,,,,,,,,,,,,,,,,,,,,
433,Havana,Florida,30.6255617,-84.415377,Southeast,2019,2019,12/12/2019,Solar,Off-site Physical PPA,0.250,,20,,Town of Havana,Municipal Utility,Origis Energy ,Florida Municipal Solar Power Project Phase 2,,Florida,2023,,https://portal.fmpa.com/wp-content/uploads/2019/12/BOD-Agenda-Package-2019-12-12.pdf,https://floridapolitics.com/archives/313476-florida-municipal-utilities-announce-second-solar-power-project,,,,,,,,,,,,,,,,,,,,,,
434,Homestead,Florida,25.4718946,-80.475991,Southeast,2019,2019,12/12/2019,Solar,Off-site Physical PPA,5.000,AC,20,,Homestead Energy Services,Municipal Utility,Origis Energy ,Florida Municipal Solar Power Project Phase 2,,Florida,2023,,https://portal.fmpa.com/wp-content/uploads/2019/12/BOD-Agenda-Package-2019-12-12.pdf,https://floridapolitics.com/archives/313476-florida-municipal-utilities-announce-second-solar-power-project,,,,,,,,,,,,,,,,,,,,,,
435,Homestead,Florida,25.4718946,-80.475991,Southeast,2018,2018,05/15/2018,Solar,Off-site Physical PPA,10.000,,20,,Homestead Energy Services,Municipal Utility,Nextera Energy,Florida Municipal Solar Power Project Phase 1,,Florida,2020,,https://www.publicpower.org/periodical/article/two-fla-solar-farms-come-online-part-fmpa-and-public-power-utility-partnership,https://pv-magazine-usa.com/2018/05/15/florida-munis-sign-contracts-with-223-mw-of-solar-power/,https://portal.fmpa.com/wp-content/uploads/2018/07/BOD-Agenda-Package-2018-04-18.pdf,https://fmpa.com/municipal-backed-solar-project-hits-milestone-with-panel-installations/,,,,,,,,,,,,,,,,,,,,
436,Jacksonville Beach,Florida,30.2946859,-81.39314,Southeast,2018,2018,05/15/2018,Solar,Off-site Physical PPA,10.000,,20,,Beaches Energy Services,Municipal Utility,Nextera Energy,Florida Municipal Solar Power Project Phase 1,,Florida,2020,,https://www.publicpower.org/periodical/article/two-fla-solar-farms-come-online-part-fmpa-and-public-power-utility-partnership,https://pv-magazine-usa.com/2018/05/15/florida-munis-sign-contracts-with-223-mw-of-solar-power/,https://portal.fmpa.com/wp-content/uploads/2018/07/BOD-Agenda-Package-2018-04-18.pdf,https://fmpa.com/municipal-backed-solar-project-hits-milestone-with-panel-installations/,,,,,,,,,,,,,,,,,,,,
437,Jacksonville Beach,Florida,30.2946859,-81.39314,Southeast,2019,2019,12/12/2019,Solar,Off-site Physical PPA,15.000,AC,20,,Beaches Energy Services,Municipal Utility,Origis Energy ,Florida Municipal Solar Power Project Phase 2,,Florida,2023,,https://portal.fmpa.com/wp-content/uploads/2019/12/BOD-Agenda-Package-2019-12-12.pdf,https://floridapolitics.com/archives/313476-florida-municipal-utilities-announce-second-solar-power-project,,,,,,,,,,,,,,,,,,,,,,
438,Key West,Florida,24.5625566,-81.772437,Southeast,2018,2018,05/15/2018,Solar,Off-site Physical PPA,5.000,,20,,Keys Energy Services,Municipal Utility,Nextera Energy,Florida Municipal Solar Power Project Phase 1,,Florida,2020,,https://www.publicpower.org/periodical/article/two-fla-solar-farms-come-online-part-fmpa-and-public-power-utility-partnership,https://pv-magazine-usa.com/2018/05/15/florida-munis-sign-contracts-with-223-mw-of-solar-power/,https://portal.fmpa.com/wp-content/uploads/2018/07/BOD-Agenda-Package-2018-04-18.pdf,https://fmpa.com/municipal-backed-solar-project-hits-milestone-with-panel-installations/,,,,,,,,,,,,,,,,,,,,
439,Key West,Florida,24.5625566,-81.772437,Southeast,2019,2019,12/12/2019,Solar,Off-site Physical PPA,25.000,,20,,Keys Energy Services,Municipal Utility,Origis Energy ,Florida Municipal Solar Power Project Phase 2,,Florida,2023,,https://portal.fmpa.com/wp-content/uploads/2019/12/BOD-Agenda-Package-2019-12-12.pdf,https://floridapolitics.com/archives/313476-florida-municipal-utilities-announce-second-solar-power-project,,,,,,,,,,,,,,,,,,,,,,
440,Kissimmee,Florida,28.2918995,-81.407584,Southeast,2019,2019,12/12/2019,Solar,Off-site Physical PPA,20.000,AC,20,,Kissimmee Utility Authority,Municipal Utility,Origis Energy ,Florida Municipal Solar Power Project Phase 2,,Florida,2023,,https://portal.fmpa.com/wp-content/uploads/2019/12/BOD-Agenda-Package-2019-12-12.pdf,https://floridapolitics.com/archives/313476-florida-municipal-utilities-announce-second-solar-power-project,,,,,,,,,,,,,,,,,,,,,,
441,Kissimmee,Florida,28.2918995,-81.407584,Southeast,2018,2018,05/15/2018,Solar,Off-site Physical PPA,30.000,,20,,Kissimmee Utility Authority,Municipal Utility,Nextera Energy,Florida Municipal Solar Power Project Phase 1,,Florida,2020,,https://www.publicpower.org/periodical/article/two-fla-solar-farms-come-online-part-fmpa-and-public-power-utility-partnership,https://pv-magazine-usa.com/2018/05/15/florida-munis-sign-contracts-with-223-mw-of-solar-power/,https://portal.fmpa.com/wp-content/uploads/2018/07/BOD-Agenda-Package-2018-04-18.pdf,https://fmpa.com/municipal-backed-solar-project-hits-milestone-with-panel-installations/,,,,,,,,,,,,,,,,,,,,
442,Lake Worth,Florida,26.615891,-80.069144,Southeast,2018,2018,05/15/2018,Solar,Off-site Physical PPA,10.000,,20,,Lake Worth Beach,Municipal Utility,Nextera Energy,Florida Municipal Solar Power Project Phase 1,,Florida,2020,,https://www.publicpower.org/periodical/article/two-fla-solar-farms-come-online-part-fmpa-and-public-power-utility-partnership,https://pv-magazine-usa.com/2018/05/15/florida-munis-sign-contracts-with-223-mw-of-solar-power/,https://portal.fmpa.com/wp-content/uploads/2018/07/BOD-Agenda-Package-2018-04-18.pdf,https://fmpa.com/municipal-backed-solar-project-hits-milestone-with-panel-installations/,,,,,,,,,,,,,,,,,,,,
443,Lake Worth,Florida,26.615891,-80.069144,Southeast,2019,2019,12/12/2019,Solar,Off-site Physical PPA,25.000,AC,20,,Lake Worth Beach,Municipal Utility,Origis Energy ,Florida Municipal Solar Power Project Phase 2,,Florida,2023,,https://portal.fmpa.com/wp-content/uploads/2019/12/BOD-Agenda-Package-2019-12-12.pdf,https://floridapolitics.com/archives/313476-florida-municipal-utilities-announce-second-solar-power-project,,,,,,,,,,,,,,,,,,,,,,
444,Miami-Dade County,Florida,25.6364246,-80.4989467,Southeast,2022,2022,01/19/2022,Solar,On-site,0.246,,20,,Florida Power & Light,Investor-owned Utility,"Advanced Roofing, Inc. ",South Dade Regional Library Solar,Miami-Dade County,Florida,2022,0,https://www.miamidade.gov/govaction/legistarfiles/MinMatters/Y2021/213097min.pdf,https://www.miamidade.gov/govaction/legistarfiles/Matters/Y2021/213097.pdf,https://www.miamidade.gov/govaction/matter.asp?matter=213097&file=true&fileAnalysis=false&yearFolder=Y2022,,,,,,,,,,,,,,,,,,,,,
445,Miami-Dade County,Florida,25.6364246,-80.4989467,Southeast,2022,2022,01/19/2022,Solar,On-site,0.475,,20,,Florida Power & Light,Investor-owned Utility,"Advanced Roofing, Inc. ",North Dade Regional Library Solar,Miami-Dade County,Florida,2022,1,https://www.miamidade.gov/govaction/legistarfiles/MinMatters/Y2021/213097min.pdf,https://www.miamidade.gov/govaction/legistarfiles/Matters/Y2021/213097.pdf,https://www.miamidade.gov/govaction/matter.asp?matter=213097&file=true&fileAnalysis=false&yearFolder=Y2021,,,,,,,,,,,,,,,,,,,,,
446,Miami-Dade County,Florida,25.6364246,-80.4989467,Southeast,2022,2022,01/19/2022,Solar,On-site,0.751,,20,,Florida Power & Light,Investor-owned Utility,"Advanced Roofing, Inc. ",Metrowest Detention Center Solar,Miami-Dade County,Florida,2022,1,https://www.miamidade.gov/govaction/legistarfiles/MinMatters/Y2021/213097min.pdf,https://www.miamidade.gov/govaction/legistarfiles/Matters/Y2021/213097.pdf,https://www.miamidade.gov/govaction/matter.asp?matter=213097&file=true&fileAnalysis=false&yearFolder=Y2023,,,,,,,,,,,,,,,,,,,,,
447,Mount Dora,Florida,28.8187468,-81.645857,Southeast,2019,2019,12/12/2019,Solar,Off-site Physical PPA,2.000,,20,,City of Mount Dora ,Municipal Utility,Origis Energy ,Florida Municipal Solar Power Project Phase 2,,Florida,2023,,https://portal.fmpa.com/wp-content/uploads/2019/12/BOD-Agenda-Package-2019-12-12.pdf,https://floridapolitics.com/archives/313476-florida-municipal-utilities-announce-second-solar-power-project,,,,,,,,,,,,,,,,,,,,,,
448,New Smyrna Beach,Florida,29.0258132,-80.927127,Southeast,2019,2019,12/12/2019,Solar,Off-site Physical PPA,10.000,,20,,"Utilities Commission, City of New Smyrna Beach",Municipal Utility,Origis Energy ,Florida Municipal Solar Power Project Phase 2,,Florida,2023,,https://portal.fmpa.com/wp-content/uploads/2019/12/BOD-Agenda-Package-2019-12-12.pdf,https://floridapolitics.com/archives/313476-florida-municipal-utilities-announce-second-solar-power-project,,,,,,,,,,,,,,,,,,,,,,
449,Newberry,Florida,29.6463535,-82.606502,Southeast,2019,2019,12/12/2019,Solar,Off-site Physical PPA,1.000,,20,,City of Newberry Electric Utility,Municipal Utility,Origis Energy ,Florida Municipal Solar Power Project Phase 2,,Florida,2023,,https://portal.fmpa.com/wp-content/uploads/2019/12/BOD-Agenda-Package-2019-12-12.pdf,https://floridapolitics.com/archives/313476-florida-municipal-utilities-announce-second-solar-power-project,,,,,,,,,,,,,,,,,,,,,,
450,Ocala,Florida,29.1871986,-82.140092,Southeast,2018,2018,05/15/2018,Solar,Off-site Physical PPA,7.000,,20,,Ocala Electric Utility,Municipal Utility,Nextera Energy,Florida Municipal Solar Power Project Phase 1,,Florida,2020,,https://www.ocala.com/story/news/local/2020/07/02/ocala-electric-surges-with-new-solar-power-supply/42035705/,https://fmpa.com/municipal-backed-solar-project-hits-milestone-with-panel-installations/,https://pv-magazine-usa.com/2018/05/15/florida-munis-sign-contracts-with-223-mw-of-solar-power/,,,,,,,,,,,,,,,,,,,,,
451,Ocala,Florida,29.1871986,-82.140092,Southeast,2019,2019,12/12/2019,Solar,Off-site Physical PPA,20.000,AC,20,,Ocala Electric Utility,Municipal Utility,Origis Energy ,Florida Municipal Solar Power Project Phase 2,,Florida,2023,,https://portal.fmpa.com/wp-content/uploads/2019/12/BOD-Agenda-Package-2019-12-12.pdf,https://floridapolitics.com/archives/313476-florida-municipal-utilities-announce-second-solar-power-project,,,,,,,,,,,,,,,,,,,,,,
452,Orange,Florida,28.5421109,-81.37903,Southeast,2016,2016,02/10/2016,Solar,On-site,1.014,,,,Orlando Utilities Commission,Municipal Utility,Spotlight Solar,Orange County Convention Center Rooftop Solar Array and Solar Trees,Orange County,Florida,,,https://www.ouc.com/environment-community/ouc-solar-solutions/solar-at-ouc,https://spotlightsolar.com/occc-content,http://www.prweb.com/releases/2016/02/prweb13206795.htm,,,,,,,,,,,,,,,,,,,,,
453,Orlando,Florida,28.5421109,-81.37903,Southeast,,2017,,Solar,On-site,0.032,,,,Orlando Utilities Commission,Municipal Utility,,Gardenia Operations Facility Floating Solar Array,Orange County,Florida,2017,,https://www.ouc.com/environment-community/ouc-solar-solutions/solar-at-ouc,"https://www.ucf.edu/news/ucf-leads-national-team-to-study-floating-solar/#:~:text=The%20Orlando%20Utilities%20Commission%20was,be%20part%20of%20the%20study.",https://www.ouc.com/about-ouc/news/2017/02/08/ouc-builds-rare-floating-solar-array,https://www.orlandosentinel.com/news/environment/os-ne-orlando-airport-solar-20200903-anksshjxtrd4hetwrjlsunagge-story.html,,,,,,,,,,,,,,,,,,,,
